x,y
841,756
844,756
846,758
846,761
847,762
847,766
847,764
848,763
849,763
850,762
851,762
852,761
851,762
850,762
849,763
848,763
846,761
846,758
844,756
874,746
873,747
872,747
869,750
872,747
873,747
963,739
962,740
963,739
964,739
1118,573
1117,574
1115,574
1114,575
1115,574
1117,574
1118,573
1125,573
1126,574
1127,574
1126,574
1125,573
0,554
0,557
1031,537
1030,538
1028,538
1027,539
1015,539
1014,540
1011,540
1009,542
1008,542
1007,543
1007,544
1005,546
1005,548
1000,553
1000,554
998,556
998,557
997,558
997,565
996,566
996,578
995,579
995,581
996,582
996,587
989,594
989,596
988,597
988,598
987,599
987,601
986,602
986,604
985,605
985,607
984,608
984,610
983,611
983,612
980,615
980,619
979,620
979,621
978,622
978,623
977,624
977,625
976,626
976,629
975,630
975,634
974,635
974,639
973,640
973,642
970,645
970,646
969,647
969,648
968,649
968,651
964,655
963,655
962,656
961,656
959,658
959,659
958,660
958,666
957,667
957,668
956,669
956,670
954,672
954,673
950,677
950,678
949,679
949,680
948,681
948,682
946,684
946,685
945,686
945,687
944,688
944,689
943,690
942,690
941,691
940,691
939,692
937,692
933,696
933,699
932,700
932,701
928,705
927,705
926,706
925,706
924,707
921,707
918,710
917,710
916,711
916,712
914,714
914,715
913,716
913,717
909,721
909,722
908,723
907,723
906,724
905,724
904,725
903,725
902,726
900,726
896,730
894,730
893,731
892,731
891,732
889,732
888,733
887,733
885,735
885,736
884,737
884,738
883,739
884,738
884,737
885,736
885,735
887,733
888,733
889,732
891,732
892,731
893,731
894,730
896,730
900,726
902,726
903,725
904,725
905,724
906,724
907,723
908,723
909,722
909,721
913,717
913,716
914,715
914,714
916,712
916,711
917,710
918,710
921,707
924,707
925,706
926,706
927,705
928,705
932,701
932,700
933,699
933,696
937,692
939,692
940,691
941,691
942,690
943,690
944,689
944,688
945,687
945,686
946,685
946,684
948,682
948,681
949,680
949,679
950,678
950,677
954,673
954,672
956,670
956,669
957,668
957,667
958,666
958,660
959,659
959,658
961,656
962,656
963,655
964,655
968,651
968,649
969,648
969,647
970,646
970,645
972,643
974,643
980,649
981,649
982,650
985,650
986,649
985,650
982,650
981,649
980,649
973,642
973,640
974,639
974,635
975,634
975,630
976,629
976,626
977,625
977,624
978,623
978,622
979,621
979,620
980,619
980,615
983,612
983,611
984,610
984,608
985,607
985,605
986,604
986,602
987,601
987,599
988,598
988,597
989,596
989,594
996,587
996,585
997,584
998,584
999,583
1021,583
1022,582
1026,582
1027,581
1032,581
1033,582
1033,583
1034,584
1034,586
1035,587
1034,586
1034,584
1033,583
1033,581
1034,580
1035,580
1036,579
1038,579
1039,578
1040,578
1041,577
1044,577
1045,576
1044,577
1041,577
1040,578
1039,578
1038,579
1036,579
1035,580
1034,580
1033,581
1032,580
1032,554
1033,553
1040,553
1041,552
1040,553
1034,553
1033,552
1033,541
1032,540
1032,538
1106,519
1105,520
1105,521
1104,522
1103,522
1102,523
1099,523
1096,526
1096,533
1095,534
1094,534
1093,535
1092,535
1091,536
1090,536
1085,541
1084,541
1083,542
1078,542
1077,543
1073,543
1072,544
1070,544
1069,545
1067,545
1065,547
1064,547
1063,548
1062,548
1060,550
1058,550
1060,550
1062,548
1063,548
1064,547
1065,547
1067,545
1069,545
1070,544
1072,544
1073,543
1077,543
1078,542
1083,542
1084,541
1085,541
1090,536
1091,536
1092,535
1093,535
1094,534
1096,534
1104,542
1104,543
1105,544
1104,543
1104,542
1096,534
1096,526
1099,523
1102,523
1103,522
1104,522
1107,525
1108,525
1109,526
1111,526
1112,527
1124,527
1125,528
1131,528
1132,529
1140,529
1141,530
1148,530
1149,531
1154,531
1155,532
1156,532
1159,535
1159,536
1165,542
1168,542
1169,543
1171,543
1172,544
1173,544
1177,548
1178,548
1179,549
1181,549
1182,550
1185,550
1186,551
1189,551
1190,552
1191,552
1192,553
1194,553
1195,554
1197,554
1198,555
1200,555
1201,556
1208,556
1209,557
1211,557
1215,561
1215,562
1219,566
1219,567
1220,568
1220,569
1221,570
1221,571
1226,576
1225,577
1225,578
1224,579
1224,581
1223,582
1223,583
1216,590
1214,590
1213,591
1194,591
1193,590
1190,590
1189,589
1178,589
1177,588
1177,586
1176,585
1176,584
1176,585
1177,586
1177,589
1173,593
1172,593
1171,594
1172,593
1173,593
1177,589
1189,589
1190,590
1193,590
1194,591
1213,591
1214,590
1216,590
1222,584
1224,584
1225,585
1225,586
1230,591
1230,592
1232,594
1230,592
1230,591
1225,586
1225,585
1223,583
1223,582
1224,581
1224,579
1225,578
1225,577
1226,576
1231,576
1232,577
1235,577
1236,578
1251,578
1252,579
1254,579
1255,580
1256,580
1261,585
1263,585
1264,586
1266,586
1267,587
1268,587
1273,592
1275,592
1280,597
1281,597
1282,598
1286,598
1287,599
1289,599
1290,600
1291,600
1292,601
1293,601
1294,602
1295,602
1299,606
1299,607
1300,608
1300,609
1301,610
1301,611
1302,612
1302,613
1304,615
1304,616
1305,617
1305,619
1306,620
1306,621
1307,622
1307,623
1308,624
1308,625
1309,626
1309,628
1312,631
1320,631
1321,632
1322,632
1323,633
1324,633
1332,641
1333,641
1334,642
1337,642
1338,643
1341,643
1342,644
1346,644
1348,646
1349,646
1352,649
1353,649
1354,650
1355,650
1356,651
1358,651
1359,652
1360,652
1362,654
1363,654
1364,655
1366,655
1367,656
1370,656
1371,657
1371,661
1372,662
1372,664
1372,662
1371,661
1371,657
1372,656
1383,656
1384,655
1385,655
1386,654
1386,645
1387,644
1387,642
1387,644
1386,645
1386,654
1385,655
1384,655
1383,656
1367,656
1366,655
1364,655
1363,654
1362,654
1360,652
1359,652
1358,651
1356,651
1355,650
1354,650
1353,649
1352,649
1349,646
1348,646
1346,644
1342,644
1341,643
1338,643
1337,642
1334,642
1333,641
1332,641
1324,633
1323,633
1322,632
1321,632
1320,631
1312,631
1309,628
1309,626
1308,625
1308,624
1307,623
1307,622
1306,621
1306,620
1305,619
1305,617
1304,616
1304,615
1302,613
1302,612
1301,611
1301,610
1300,609
1300,608
1299,607
1299,606
1297,604
1297,603
1301,599
1303,599
1304,598
1311,598
1312,597
1313,597
1314,596
1315,596
1316,595
1318,595
1319,594
1322,594
1323,595
1328,595
1329,596
1333,596
1334,597
1336,597
1337,598
1339,598
1340,599
1341,599
1342,600
1343,600
1344,601
1346,601
1347,602
1346,601
1344,601
1343,600
1342,600
1341,599
1340,599
1339,598
1337,598
1336,597
1334,597
1333,596
1329,596
1328,595
1323,595
1322,594
1319,594
1318,595
1316,595
1315,596
1314,596
1313,597
1312,597
1311,598
1304,598
1303,599
1301,599
1297,603
1296,603
1295,602
1294,602
1293,601
1292,601
1291,600
1290,600
1289,599
1287,599
1286,598
1282,598
1281,597
1280,597
1275,592
1273,592
1268,587
1267,587
1266,586
1264,586
1263,585
1261,585
1256,580
1255,580
1254,579
1252,579
1251,578
1236,578
1235,577
1232,577
1231,576
1226,576
1221,571
1221,570
1220,569
1220,568
1219,567
1219,566
1215,562
1215,561
1211,557
1209,557
1208,556
1201,556
1200,555
1198,555
1197,554
1195,554
1194,553
1192,553
1191,552
1190,552
1189,551
1186,551
1185,550
1182,550
1181,549
1179,549
1178,548
1177,548
1173,544
1172,544
1171,543
1169,543
1168,542
1165,542
1159,536
1159,535
1156,532
1155,532
1154,531
1149,531
1148,530
1141,530
1140,529
1132,529
1131,528
1125,528
1124,527
1112,527
1111,526
1109,526
1108,525
1107,525
1104,522
1105,521
1105,520
1143,349
1144,350
1144,352
1147,355
1144,352
1144,350
1266,311
1268,311
1269,312
1272,312
1269,312
1268,311
394,224
397,224
398,225
408,225
409,226
411,226
412,225
411,226
409,226
408,225
398,225
397,224
